name,red,green,blue,alpha,id
Book,250,50,50,255,2
Person,54,276,239,255,3
Bed,32,32,32,255,4
Car,154,229,206,255,5
Motorcycle,102,0,204,255,6
Airplane,255,23,23,255,7
Bus,154,38,91,255,8
Train,2,103,71,255,9
Truck,346,188,6,255,10
Firehydrant,154,229,206,155,11
Bench,65,144,39,255,12
Vases,125,218,3,255,13
Suitcase,154,229,206,255,14
Bottle,255,20,127,255,15
Wineglass,244,228,69,255,16
Cup,154,38,91,255,17
Chair,54,176,239,255,18
Couch,39,144,65,255,19
Pottedplant,38,112,233,255,20
Diningtable,54,276,239,255,21
Tv,255,23,23,255,23
